,Argentina,Australia,Brazil,Chile,France,Great Britain,Indonesia,Japan,Malaysia,Mexico,Russia,Singapore,South Korea,Spain,Turkey,United States
Argentina,1.0,0.3185665222677635,0.10779643147495,0.46672998440934577,-0.41086766335767066,-0.20727952754712953,-0.6779620902281591,-0.8159358301689932,-0.2638826500375646,0.3441390987993771,-0.6945572278412997,0.1459240519847771,-0.5242855753217148,0.03543246495544272,-0.7242502343127968,-0.03064576206870928
Australia,-0.2553475036155346,1.0,-0.5081546347092201,-0.40896793282615485,-0.23163061111812167,0.279978200203838,-0.7473227250348236,-0.501120523362381,0.19018416855403997,-0.5685178946318432,-0.6318607940008274,0.36916846393301017,-0.4342726534750909,-0.32229337872417907,-0.8517302790223047,0.6292176007849017
Brazil,0.2172456304370629,0.2021202372220945,1.0,0.11700977041097127,-0.5239584185669086,-0.04163474067016426,-0.493767657849167,-0.6481505682204933,0.15333129182675664,-0.13107379607018932,-0.6675976939671011,0.013579867660339917,-0.3218654544014026,-0.07477231511054483,-0.7146629888034521,-0.0788144858478852
Chile,0.4090194230676806,0.09922352474284879,0.027487920795484233,1.0,-0.5764723505341964,-0.26987474099214315,-0.5897636567332922,-0.5126269197802982,0.003409874601102203,0.5144358351639636,-0.6810282866130639,0.09022297239503785,-0.49106208330289114,0.06605660385455481,-0.7696207765768315,0.11872233985615555
France,-0.21927129016984725,0.34657760575362884,-0.57322684160485,-0.29819772627832974,1.0,0.11882607217376373,-0.49373178141242535,-0.43950481729571256,0.13343507833349177,-0.11845135038884669,-0.6228857341583627,0.12928434654202015,-0.3961024014405705,0.049920844285317956,-0.3071142200084127,0.3017693528986205
Great Britain,-0.3668814911091285,0.5977633789213604,-0.48457351763258516,-0.37174070172722473,-0.3259412962153285,1.0,-0.6718998890765597,-0.5466414670251758,0.1350166860474924,-0.5795941831919245,-0.6290205497373265,0.3572944265460607,-0.3503164561044547,-0.19275448484795055,-0.7587285434611917,0.5076036542038513
Indonesia,-0.3175993854883705,0.34040676224793875,-0.33044109760854967,-0.32729154333899646,-0.4721126089280667,-0.13546607313451897,1.0,-0.44431141294420495,0.5370213863471927,-0.30893696347994926,-0.5313288301974475,0.1873536732263007,-0.18871327242229352,-0.4840583412738604,-0.4820209109449114,0.10055428677435929
Japan,-0.5179571976675506,0.27908948542112144,-0.2526960237512097,-0.29735202143292616,-0.4230187862056809,-0.18031779183456553,-0.29390932285147997,1.0,0.36011942234365535,-0.23888360517435991,-0.5052898121478897,0.5557723533994046,0.1346189864370435,-0.41359262928874574,-0.3286136907720185,-0.01803185388485007
Malaysia,-0.8288719738804085,0.40890460933354866,-0.7606821072257741,-0.6191570757982239,-0.6276304671706601,-0.6842704217105395,-0.26242336802881105,-0.8814825517173102,1.0,-0.7218375749581674,-0.7659573246379916,0.7154150418276971,-0.33726738008610324,-0.8617750335577306,-0.8550599007782651,0.026759355669192297
Mexico,0.30998559345336285,0.03537448571094093,-0.5318726574652728,0.3469198602973971,-0.4331202741349627,-0.506904329155506,-0.7603214672113414,-0.8318544230648903,-0.11362526933450923,1.0,-0.811254097687212,-0.07239647758663037,-0.3287941292565417,-0.14372681668712106,-0.6707652854708286,0.4100728472200741
Russia,-0.1564922470131076,-0.16326340908505288,-0.02106043743982755,-0.053243676609708857,-0.08494638907413044,-0.08895049364965124,0.39257824445640543,-0.05629655639529774,-0.18780478081995988,0.33304242049387733,1.0,-0.13118879168255382,-0.10883638619988978,-0.16378236867852558,0.1102681209515417,-0.25919491675812023
Singapore,-0.6528810890348624,0.31656298078436484,-0.7017594303645251,-0.4792943137060157,-0.6317905198665565,-0.20176280292495852,-0.6090501491952434,-0.1759719127492001,0.615750206999574,-0.6191388599321415,-0.6575310396591809,1.0,-0.10077991277723264,-0.7340156442575219,-0.8615810155331514,-0.055645028403452645
South Korea,-0.49827893498922315,0.1481134961907835,-0.6176191054265212,-0.6180474270289611,-0.7407042379087867,-0.17342442523633372,-0.5715103325937012,-0.3010142115113197,0.5374136228317574,-0.0461628534279066,-0.7793621493120786,0.41251519984667606,1.0,-0.514568864024219,-0.6065086908047284,0.1116597021247604
Spain,0.16960881228333635,0.12172964068489356,-0.16159524459333996,0.14287482587437594,0.2608088658703954,0.06768993994919859,-0.538133390464623,-0.5660064183186018,-0.09233087738558954,-0.0043057243166340076,-0.6312021206904059,-0.052501315931484216,-0.42155547492529033,1.0,-0.4900591228318856,-0.1384152286879059
Turkey,-0.19194844003119793,0.2705294839440495,-0.5382588161775357,-0.3993337522468299,-0.1534319767580814,-0.17717287109699775,-0.4147023013193163,-0.3963876995449849,0.3443974741847218,-0.24461498629723843,-0.5260880627507483,0.1231458483590876,-0.3081339486897272,-0.20854132247747925,1.0,-0.25277317627428086
United States,-0.28485407773887284,0.6407843043233865,-0.5403807578790667,-0.24845091177967382,-0.3280993342199485,0.2715707899362161,-0.6583773540200601,-0.47553080140164616,0.056007616960432105,-0.36696106653264327,-0.6985949686071695,0.22324767018354807,-0.5081668350578004,-0.4612724595615183,-0.7818713142859002,1.0
