Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Australia,AUS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1450499018770.09
Argentina,ARG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,437813398163.194
Brazil,BRA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2364445788869.69
Chile,CHL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,285037020831.58
France,FRA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2971919320115.83
Indonesia,IDN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1204457195676.25
Japan,JPN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,6187013947904.92
"Korea, Rep.",KOR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1482760164322.84
Malaysia,MYS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,398946603155.68
Mexico,MEX,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1309881765941.94
Russian Federation,RUS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1779170276409.99
Singapore,SGP,GDP (constant 2010 US$),NY.GDP.MKTP.KD,338646194792.894
Spain,ESP,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1572012697558.03
Turkey,TUR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1261946143648.6
United Kingdom,GBR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2913556871434.81
United States,USA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,18349108235210.1
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 07/21/2021,,,,
